wave n k
0.00057999 0.99985732 1.9309e-05
0.00058133 0.99985673 1.9471e-05
0.00058267 0.99985608 1.9635e-05
0.00058401 0.99985548 1.9801e-05
0.00058536 0.99985483 1.9968e-05
0.00058671 0.99985423 2.0135e-05
0.00058806 0.99985358 2.0304e-05
0.00058942 0.99985298 2.0474e-05
0.00059077 0.99985232 2.0645e-05
0.00059214 0.99985171 2.0818e-05
0.0005935 0.99985105 2.0992e-05
0.00059487 0.99985045 2.1169e-05
0.00059624 0.99984977 2.1347e-05
0.00059762 0.99984917 2.1526e-05
0.00059899 0.9998485 2.1706e-05
0.00060037 0.99984788 2.1886e-05
0.00060176 0.99984721 2.2069e-05
0.00060314 0.9998466 2.2253e-05
0.00060453 0.99984592 2.2439e-05
0.00060593 0.9998453 2.2626e-05
0.00060733 0.99984462 2.2815e-05
0.00060873 0.99984401 2.3006e-05
0.00061013 0.99984332 2.3197e-05
0.00061154 0.9998427 2.339e-05
0.00061294 0.99984202 2.3583e-05
0.00061436 0.99984139 2.3779e-05
0.00061577 0.99984071 2.3976e-05
0.00061719 0.99984009 2.4175e-05
0.00061862 0.99983939 2.4376e-05
0.00062004 0.99983877 2.4579e-05
0.00062147 0.99983808 2.4782e-05
0.0006229 0.99983746 2.4988e-05
0.00062434 0.99983677 2.5195e-05
0.00062578 0.99983615 2.5403e-05
0.00062722 0.99983546 2.5614e-05
0.00062867 0.99983483 2.5825e-05
0.00063012 0.99983414 2.6039e-05
0.00063157 0.99983353 2.6254e-05
0.00063303 0.99983283 2.647e-05
0.00063449 0.99983222 2.6689e-05
